"model","rep","node","identity","blens","system"
"best","40","5","93.4545454545455",0.2,"HA"
"best","40","6","93.4545454545455",0.2,"HA"
"poisson","40","5","91.2727272727273",0.2,"HA"
"poisson","40","6","90.5454545454545",0.2,"HA"
"H1","40","5","94",0.2,"HA"
"H1","40","6","94",0.2,"HA"
"H3","40","5","94",0.2,"HA"
"H3","40","6","94",0.2,"HA"
"best","41","5","92.1818181818182",0.2,"HA"
"best","41","6","91.0909090909091",0.2,"HA"
"poisson","41","5","90.1818181818182",0.2,"HA"
"poisson","41","6","90.1818181818182",0.2,"HA"
"H1","41","5","92.3636363636364",0.2,"HA"
"H1","41","6","91.4545454545455",0.2,"HA"
"H3","41","5","92.5454545454545",0.2,"HA"
"H3","41","6","90.5454545454545",0.2,"HA"
"best","42","5","89.6363636363636",0.2,"HA"
"best","42","6","91.6363636363636",0.2,"HA"
"poisson","42","5","87.0909090909091",0.2,"HA"
"poisson","42","6","90.7272727272727",0.2,"HA"
"H1","42","5","91.0909090909091",0.2,"HA"
"H1","42","6","94",0.2,"HA"
"H3","42","5","90.7272727272727",0.2,"HA"
"H3","42","6","94",0.2,"HA"
"best","43","5","94.3636363636364",0.2,"HA"
"best","43","6","94.1818181818182",0.2,"HA"
"poisson","43","5","91.8181818181818",0.2,"HA"
"poisson","43","6","91.4545454545455",0.2,"HA"
"H1","43","5","94.7272727272727",0.2,"HA"
"H1","43","6","94.7272727272727",0.2,"HA"
"H3","43","5","94.7272727272727",0.2,"HA"
"H3","43","6","95.0909090909091",0.2,"HA"
"best","44","5","91.0909090909091",0.2,"HA"
"best","44","6","90.9090909090909",0.2,"HA"
"poisson","44","5","90.3636363636364",0.2,"HA"
"poisson","44","6","88.3636363636364",0.2,"HA"
"H1","44","5","92",0.2,"HA"
"H1","44","6","90.3636363636364",0.2,"HA"
"H3","44","5","92.3636363636364",0.2,"HA"
"H3","44","6","90.9090909090909",0.2,"HA"
"best","45","5","92.9090909090909",0.2,"HA"
"best","45","6","93.6363636363636",0.2,"HA"
"poisson","45","5","92.3636363636364",0.2,"HA"
"poisson","45","6","93.6363636363636",0.2,"HA"
"H1","45","5","94",0.2,"HA"
"H1","45","6","94",0.2,"HA"
"H3","45","5","93.8181818181818",0.2,"HA"
"H3","45","6","93.6363636363636",0.2,"HA"
"best","46","5","91.2727272727273",0.2,"HA"
"best","46","6","92.9090909090909",0.2,"HA"
"poisson","46","5","89.6363636363636",0.2,"HA"
"poisson","46","6","92.1818181818182",0.2,"HA"
"H1","46","5","90.5454545454545",0.2,"HA"
"H1","46","6","92.9090909090909",0.2,"HA"
"H3","46","5","91.4545454545455",0.2,"HA"
"H3","46","6","93.4545454545455",0.2,"HA"
"best","47","5","92.3636363636364",0.2,"HA"
"best","47","6","90.1818181818182",0.2,"HA"
"poisson","47","5","89.6363636363636",0.2,"HA"
"poisson","47","6","88.7272727272727",0.2,"HA"
"H1","47","5","93.4545454545455",0.2,"HA"
"H1","47","6","91.8181818181818",0.2,"HA"
"H3","47","5","92.5454545454545",0.2,"HA"
"H3","47","6","91.4545454545455",0.2,"HA"
"best","48","5","92.7272727272727",0.2,"HA"
"best","48","6","92.3636363636364",0.2,"HA"
"poisson","48","5","90.5454545454545",0.2,"HA"
"poisson","48","6","91.2727272727273",0.2,"HA"
"H1","48","5","93.2727272727273",0.2,"HA"
"H1","48","6","92.9090909090909",0.2,"HA"
"H3","48","5","92.9090909090909",0.2,"HA"
"H3","48","6","92.3636363636364",0.2,"HA"
"best","49","5","93.0909090909091",0.2,"HA"
"best","49","6","93.2727272727273",0.2,"HA"
"poisson","49","5","90.1818181818182",0.2,"HA"
"poisson","49","6","92.1818181818182",0.2,"HA"
"H1","49","5","92.1818181818182",0.2,"HA"
"H1","49","6","93.2727272727273",0.2,"HA"
"H3","49","5","92.9090909090909",0.2,"HA"
"H3","49","6","93.2727272727273",0.2,"HA"
"best","50","5","93.0909090909091",0.2,"HA"
"best","50","6","92",0.2,"HA"
"poisson","50","5","90.7272727272727",0.2,"HA"
"poisson","50","6","90",0.2,"HA"
"H1","50","5","92.9090909090909",0.2,"HA"
"H1","50","6","92",0.2,"HA"
"H3","50","5","93.2727272727273",0.2,"HA"
"H3","50","6","91.8181818181818",0.2,"HA"
"best","51","5","93.4545454545455",0.2,"HA"
"best","51","6","92.9090909090909",0.2,"HA"
"poisson","51","5","91.2727272727273",0.2,"HA"
"poisson","51","6","90.3636363636364",0.2,"HA"
"H1","51","5","93.4545454545455",0.2,"HA"
"H1","51","6","92.7272727272727",0.2,"HA"
"H3","51","5","93.0909090909091",0.2,"HA"
"H3","51","6","93.0909090909091",0.2,"HA"
"best","52","5","94",0.2,"HA"
"best","52","6","90.9090909090909",0.2,"HA"
"poisson","52","5","92.5454545454545",0.2,"HA"
"poisson","52","6","89.2727272727273",0.2,"HA"
"H1","52","5","93.0909090909091",0.2,"HA"
"H1","52","6","90.3636363636364",0.2,"HA"
"H3","52","5","93.4545454545455",0.2,"HA"
"H3","52","6","90.5454545454545",0.2,"HA"
"best","53","5","89.8181818181818",0.2,"HA"
"best","53","6","89.6363636363636",0.2,"HA"
"poisson","53","5","88.9090909090909",0.2,"HA"
"poisson","53","6","88.9090909090909",0.2,"HA"
"H1","53","5","90.7272727272727",0.2,"HA"
"H1","53","6","90.1818181818182",0.2,"HA"
"H3","53","5","91.2727272727273",0.2,"HA"
"H3","53","6","89.8181818181818",0.2,"HA"
"best","54","5","94.3636363636364",0.2,"HA"
"best","54","6","93.2727272727273",0.2,"HA"
"poisson","54","5","93.4545454545455",0.2,"HA"
"poisson","54","6","91.8181818181818",0.2,"HA"
"H1","54","5","94.5454545454545",0.2,"HA"
"H1","54","6","93.6363636363636",0.2,"HA"
"H3","54","5","93.8181818181818",0.2,"HA"
"H3","54","6","93.0909090909091",0.2,"HA"
"best","55","5","92.1818181818182",0.2,"HA"
"best","55","6","94",0.2,"HA"
