"model","rep","node","identity","blens","system"
"poisson","73","6","65.3846153846154",1.6,"RBD"
"RBD","73","5","71.4285714285714",1.6,"RBD"
"RBD","73","6","63.1868131868132",1.6,"RBD"
"best","74","5","67.5824175824176",1.6,"RBD"
"best","74","6","69.7802197802198",1.6,"RBD"
"poisson","74","5","67.032967032967",1.6,"RBD"
"poisson","74","6","70.8791208791209",1.6,"RBD"
"RBD","74","5","67.5824175824176",1.6,"RBD"
"RBD","74","6","70.3296703296703",1.6,"RBD"
"best","75","5","74.1758241758242",1.6,"RBD"
"best","75","6","73.6263736263736",1.6,"RBD"
"poisson","75","5","74.1758241758242",1.6,"RBD"
"poisson","75","6","73.6263736263736",1.6,"RBD"
"RBD","75","5","72.5274725274725",1.6,"RBD"
"RBD","75","6","74.7252747252747",1.6,"RBD"
"best","76","5","69.7802197802198",1.6,"RBD"
"best","76","6","69.2307692307692",1.6,"RBD"
"poisson","76","5","69.7802197802198",1.6,"RBD"
"poisson","76","6","65.9340659340659",1.6,"RBD"
"RBD","76","5","70.3296703296703",1.6,"RBD"
"RBD","76","6","68.6813186813187",1.6,"RBD"
"best","77","5","60.4395604395604",1.6,"RBD"
"best","77","6","62.6373626373626",1.6,"RBD"
"poisson","77","5","57.6923076923077",1.6,"RBD"
"poisson","77","6","62.0879120879121",1.6,"RBD"
"RBD","77","5","58.2417582417582",1.6,"RBD"
"RBD","77","6","62.0879120879121",1.6,"RBD"
"best","78","5","64.8351648351648",1.6,"RBD"
"best","78","6","65.3846153846154",1.6,"RBD"
"poisson","78","5","64.2857142857143",1.6,"RBD"
"poisson","78","6","63.7362637362637",1.6,"RBD"
"RBD","78","5","65.9340659340659",1.6,"RBD"
"RBD","78","6","70.3296703296703",1.6,"RBD"
"best","79","5","64.8351648351648",1.6,"RBD"
"best","79","6","64.8351648351648",1.6,"RBD"
"poisson","79","5","63.1868131868132",1.6,"RBD"
"poisson","79","6","65.9340659340659",1.6,"RBD"
"RBD","79","5","67.032967032967",1.6,"RBD"
"RBD","79","6","64.8351648351648",1.6,"RBD"
"best","80","5","67.032967032967",1.6,"RBD"
"best","80","6","69.2307692307692",1.6,"RBD"
"poisson","80","5","67.5824175824176",1.6,"RBD"
"poisson","80","6","70.8791208791209",1.6,"RBD"
"RBD","80","5","71.978021978022",1.6,"RBD"
"RBD","80","6","71.4285714285714",1.6,"RBD"
"best","81","5","59.3406593406593",1.6,"RBD"
"best","81","6","62.6373626373626",1.6,"RBD"
"poisson","81","5","61.5384615384615",1.6,"RBD"
"poisson","81","6","62.6373626373626",1.6,"RBD"
"RBD","81","5","60.989010989011",1.6,"RBD"
"RBD","81","6","59.8901098901099",1.6,"RBD"
"best","82","5","68.1318681318681",1.6,"RBD"
"best","82","6","68.6813186813187",1.6,"RBD"
"poisson","82","5","67.032967032967",1.6,"RBD"
"poisson","82","6","66.4835164835165",1.6,"RBD"
"RBD","82","5","68.6813186813187",1.6,"RBD"
"RBD","82","6","69.2307692307692",1.6,"RBD"
"best","83","5","66.4835164835165",1.6,"RBD"
