"model","rep","node","identity","blens","system"
"poisson","53","6","98.6842105263158",0.05,"SR"
"ER","53","5","98.6842105263158",0.05,"SR"
"ER","53","6","100",0.05,"SR"
"kSR","53","5","98.6842105263158",0.05,"SR"
"kSR","53","6","100",0.05,"SR"
"best","54","5","100",0.05,"SR"
"best","54","6","100",0.05,"SR"
"poisson","54","5","100",0.05,"SR"
"poisson","54","6","98.6842105263158",0.05,"SR"
"ER","54","5","100",0.05,"SR"
"ER","54","6","100",0.05,"SR"
"kSR","54","5","100",0.05,"SR"
"kSR","54","6","100",0.05,"SR"
"best","55","5","100",0.05,"SR"
"best","55","6","100",0.05,"SR"
"poisson","55","5","100",0.05,"SR"
"poisson","55","6","100",0.05,"SR"
"ER","55","5","100",0.05,"SR"
"ER","55","6","98.6842105263158",0.05,"SR"
"kSR","55","5","100",0.05,"SR"
"kSR","55","6","100",0.05,"SR"
"best","56","5","100",0.05,"SR"
"best","56","6","100",0.05,"SR"
"poisson","56","5","100",0.05,"SR"
"poisson","56","6","100",0.05,"SR"
"ER","56","5","100",0.05,"SR"
"ER","56","6","100",0.05,"SR"
"kSR","56","5","100",0.05,"SR"
"kSR","56","6","100",0.05,"SR"
"best","57","5","100",0.05,"SR"
"best","57","6","100",0.05,"SR"
"poisson","57","5","100",0.05,"SR"
"poisson","57","6","98.6842105263158",0.05,"SR"
"ER","57","5","100",0.05,"SR"
"ER","57","6","100",0.05,"SR"
"kSR","57","5","100",0.05,"SR"
"kSR","57","6","100",0.05,"SR"
"best","58","5","100",0.05,"SR"
"best","58","6","98.6842105263158",0.05,"SR"
"poisson","58","5","100",0.05,"SR"
"poisson","58","6","98.6842105263158",0.05,"SR"
"ER","58","5","100",0.05,"SR"
"ER","58","6","98.6842105263158",0.05,"SR"
"kSR","58","5","100",0.05,"SR"
"kSR","58","6","98.6842105263158",0.05,"SR"
"best","59","5","98.6842105263158",0.05,"SR"
"best","59","6","98.6842105263158",0.05,"SR"
"poisson","59","5","98.6842105263158",0.05,"SR"
"poisson","59","6","98.6842105263158",0.05,"SR"
"ER","59","5","98.6842105263158",0.05,"SR"
"ER","59","6","97.3684210526316",0.05,"SR"
"kSR","59","5","97.3684210526316",0.05,"SR"
"kSR","59","6","98.6842105263158",0.05,"SR"
"best","60","5","100",0.05,"SR"
"best","60","6","100",0.05,"SR"
"poisson","60","5","100",0.05,"SR"
