"model","rep","total_blens","mean_blens","blens","system"
"H1","85","3.940231","0.7880462",0.8,"HA"
"H1","86","3.829475","0.765895",0.8,"HA"
"H1","87","3.182835","0.636567",0.8,"HA"
"H1","88","3.901896","0.7803792",0.8,"HA"
"H1","89","3.843471","0.7686942",0.8,"HA"
"H1","90","4.152675","0.830535",0.8,"HA"
"H1","91","4.168989","0.8337978",0.8,"HA"
"H1","92","4.285802","0.8571604",0.8,"HA"
"H1","93","4.250874","0.8501748",0.8,"HA"
"H1","94","4.077301","0.8154602",0.8,"HA"
"H1","95","4.557314","0.9114628",0.8,"HA"
"H1","96","3.851353","0.7702706",0.8,"HA"
"H1","97","3.672621","0.7345242",0.8,"HA"
"H1","98","3.995255","0.799051",0.8,"HA"
"H1","99","4.103491","0.8206982",0.8,"HA"
"H1","100","4.246494","0.8492988",0.8,"HA"
"H3","1","3.353971","0.6707942",0.8,"HA"
"H3","2","3.466239","0.6932478",0.8,"HA"
"H3","3","3.073387","0.6146774",0.8,"HA"
"H3","4","2.678008","0.5356016",0.8,"HA"
"H3","5","3.033271","0.6066542",0.8,"HA"
"H3","6","2.993245","0.598649",0.8,"HA"
"H3","7","2.731711","0.5463422",0.8,"HA"
"H3","8","2.938926","0.5877852",0.8,"HA"
"H3","9","3.004302","0.6008604",0.8,"HA"
"H3","10","3.037988","0.6075976",0.8,"HA"
"H3","11","2.681267","0.5362534",0.8,"HA"
"H3","12","3.183154","0.6366308",0.8,"HA"
"H3","13","3.008082","0.6016164",0.8,"HA"
"H3","14","2.53104","0.506208",0.8,"HA"
"H3","15","2.951959","0.5903918",0.8,"HA"
"H3","16","3.213762","0.6427524",0.8,"HA"
"H3","17","3.160409","0.6320818",0.8,"HA"
"H3","18","2.973135","0.594627",0.8,"HA"
"H3","19","3.156294","0.6312588",0.8,"HA"
"H3","20","2.933475","0.586695",0.8,"HA"
"H3","21","3.169207","0.6338414",0.8,"HA"
"H3","22","2.815225","0.563045",0.8,"HA"
"H3","23","3.028443","0.6056886",0.8,"HA"
"H3","24","3.101159","0.6202318",0.8,"HA"
"H3","25","3.264803","0.6529606",0.8,"HA"
"H3","26","3.454946","0.6909892",0.8,"HA"
"H3","27","3.334865","0.666973",0.8,"HA"
"H3","28","2.899425","0.579885",0.8,"HA"
"H3","29","3.134097","0.6268194",0.8,"HA"
"H3","30","2.935192","0.5870384",0.8,"HA"
"H3","31","2.969615","0.593923",0.8,"HA"
"H3","32","2.924327","0.5848654",0.8,"HA"
"H3","33","3.17566","0.635132",0.8,"HA"
"H3","34","3.198005","0.639601",0.8,"HA"
"H3","35","2.898555","0.579711",0.8,"HA"
"H3","36","2.931237","0.5862474",0.8,"HA"
"H3","37","2.727094","0.5454188",0.8,"HA"
"H3","38","3.021453","0.6042906",0.8,"HA"
"H3","39","3.035101","0.6070202",0.8,"HA"
"H3","40","2.946099","0.5892198",0.8,"HA"
"H3","41","3.046877","0.6093754",0.8,"HA"
"H3","42","3.140913","0.6281826",0.8,"HA"
"H3","43","3.360271","0.6720542",0.8,"HA"
"H3","44","2.926989","0.5853978",0.8,"HA"
"H3","45","3.146868","0.6293736",0.8,"HA"
"H3","46","3.088784","0.6177568",0.8,"HA"
"H3","47","2.950084","0.5900168",0.8,"HA"
"H3","48","3.101005","0.620201",0.8,"HA"
"H3","49","2.947436","0.5894872",0.8,"HA"
"H3","50","3.008849","0.6017698",0.8,"HA"
"H3","51","3.139454","0.6278908",0.8,"HA"
"H3","52","3.068011","0.6136022",0.8,"HA"
"H3","53","3.216509","0.6433018",0.8,"HA"
"H3","54","3.047069","0.6094138",0.8,"HA"
"H3","55","3.320031","0.6640062",0.8,"HA"
"H3","56","2.700347","0.5400694",0.8,"HA"
"H3","57","3.030447","0.6060894",0.8,"HA"
"H3","58","3.388135","0.677627",0.8,"HA"
